écus	écu
samhitas	samhita
sammies	sammy
samples	sample
sams	sam
sanatoria	sanatorium
sanchos	sancho
sanctities	sanctity
sanctuaries	sanctuary
sandinistas	sandinista
sandwiches	sandwich
sanghas	sangha
sanitaria	sanitarium
sankhyas	sankhya
sarcomata	sarcoma
sarcophagi	sarcophagus
saris	sari
sashes	sash
sats	sat
saunas	sauna
sautés	sauté
savageries	savagery
savoys	savoy
saxes	saxe
sayas	saya
scapulae	scapula
scarcities	scarcity
scenarios	scenario
schatzes	schatz
schemata	schema
schoolboys	schoolboy
schoolchildren	schoolchild
schoolhouses	schoolhouse
schoolmen	schoolman
schottkies	schottky
schwarzes	schwarz
sciences	science
sclerae	sclera
scleroses	sclerosis
scotches	scotch
scotomata	scotoma
scotsmen	scotsman
scotties	scotty
scottishes	scottish
scourges	scourge
screeches	screech
scrota	scrotum
scruples	scruple
scrutinies	scrutiny
scubas	scuba
scythes	scythe
seals	seal
seamen	seaman
seamstresses	seamstress
searches	search
seas	sea
sec	sec
secondaries	secondary
secretaries	secretary
secretaries-general	secretary-general
secretories	secretory
securities	security
sedges	sedge
sedimentaries	sedimentary
sehnas	sehna
seitzes	seitz
selectmen	selectman
sellae	sella
selves	self
semblances	semblance
semicircles	semicircle
seminaries	seminary
semples	semple
sems	sem
senses	sense
sensories	sensory
sentences	sentence
sententias	sententia
sentimentalities	sentimentality
sentries	sentry
sephardim	sephardi
sepoys	sepoy
septa	septum
sepulchres	sepulchre
sequelae	sequela
sequences	sequence
sequoias	sequoia
sera	serum
seraphim	seraph
series	series
serotypes	serotype
serranos	serrano
sertolis	sertoli
servicemen	serviceman
servos	servo
ses	se
sesses	sess
setae	seta
settles	settle
seventies	seventy
severances	severance
severities	severity
sexes	sex
sexualities	sexuality
shabbosim	shabbos
shackles	shackle
shanties	shanty
sharias	sharia
shas	sha
shastas	shasta
shastras	shastra
shellfish	shellfish
shelves	shelf
shermen	sherman
sherpa	sherpa
sherries	sherry
shigellas	shigella
shoes	shoe
shous	shou
showcases	showcase
showmen	showman
shrubberies	shrubbery
shtetlach	shtetl
shuttles	shuttle
sienas	siena
sierras	sierra
siestas	siesta
sifrei	sefer
sigmas	sigma
signatories	signatory
silences	silence
silhouettes	silhouette
silicas	silica
silos	silo
silvas	silva
similarities	similarity
simples	simple
simplexes	simplex
simplicities	simplicity
simulacra	simulacrum
sindhis	sindhi
singles	single
singularities	singularity
sinuses	sinus
sissies	sissy
situses	situs
sivas	siva
sixes	six
sixpences	sixpence
sixties	sixty
sketches	sketch
skies	sky
skirmishes	skirmish
skis	ski
slaughterhouses	slaughterhouse
sledges	sledge
slrs	slr
sludges	sludge
slurries	slurry
smallpoxes	smallpox
smithies	smithy
snatches	snatch
snobberies	snobbery
socialties	socialty
societies	society
sodas	soda
soes	soe
sofas	sofa
sohos	soho
soldieries	soldiery
solemnities	solemnity
soleuses	soleus
solicitors-general	solicitor-general
solidi	solidus
soliloquies	soliloquy
solitaries	solitary
solos	solo
solvencies	solvency
somas	soma
somebodies	somebody
sonatas	sonata
sonnes	sonne
sophias	sophia
sophies	sophy
sophistries	sophistry
sopranos	soprano
sorceresses	sorceress
sororities	sorority
sorries	sorry
sorties	sortie
sotos	soto
sources	source
sous	sou
sovereignties	sovereignty
soyas	soya
sparkles	sparkle
spas	spa
spatulas	spatula
spearmen	spearman
specialities	speciality
specialties	specialty
species	species
speckles	speckle
spectacles	spectacle
spectra	spectrum
spectres	spectre
specula	speculum
speeches	speech
sperm	sperm
spermatocytes	spermatocyte
spermatozoa	spermatozoon
spies	spy
spinaches	spinach
spinas	spina
spindles	spindle
spiritualities	spirituality
spitzes	spitz
splenectomies	splenectomy
spokesmen	spokesman
spokespeople	spokesperson
spondylolistheses	spondylolisthesis
sponges	sponge
sporangia	sporangium
sportsmen	sportsman
spouses	spouse
srimatis	srimati
ssris	ssri
stables	stable
stadia	stadium
stagecoaches	stagecoach
staircases	staircase
stand-bys	stand-by
stanzas	stanza
staphylococci	staphylococcus
staples	staple
starfish	starfish
stases	stasis
statesmen	statesman
stationarities	stationarity
statuaries	statuary
statues	statue
statuettes	statuette
statuses	status
stds	std
steadies	steady
steatorrhœas	steatorrhœa
stedmen	stedman
steeples	steeple
stelae	stela
stenches	stench
stenoses	stenosis
stepchildren	stepchild
stepfamilies	stepfamily
steppes	steppe
stereos	stereo
stereotypes	stereotype
sterna	sternum
stewardesses	stewardess
stigmata	stigma
stimuli	stimulus
stitches	stitch
stockmen	stockman
stoicheiometries	stoicheiometry
stomata	stoma
stopwatches	stopwatch
storehouses	storehouse
stories	story
strata	stratum
strategies	strategy
strawberries	strawberry
streptococci	streptococcus
stresses	stress
stretches	stretch
striae	stria
striata	striatum
stringencies	stringency
stromata	stroma
strophes	strophe
struggles	struggle
studies	study
studios	studio
stupas	stupa
stupidities	stupidity
styles	style
styli	stylus
subcategories	subcategory
subclasses	subclass
subdirectories	subdirectory
subfamilies	subfamily
subjectivities	subjectivity
sublimities	sublimity
submenus	submenu
submergences	submergence
submersibles	submersible
submucosae	submucosa
subpœnas	subpœna
subsamples	subsample
subserviences	subservience
subsidiaries	subsidiary
subsidies	subsidy
subsistences	subsistence
subspecies	subspecies
substances	substance
substrata	substratum
subtitles	subtitle
subtleties	subtlety
subtypes	subtype
successes	success
sudanese	sudanese
sudras	sudra
sufficiencies	sufficiency
suffixes	suffix
suitcases	suitcase
sulci	sulcus
sullas	sulla
sulphonylureas	sulphonylurea
sulus	sulu
summae	summa
summaries	summary
summonses	summons
sunni	sunni
sunrises	sunrise
superclasses	superclass
superegos	superego
superfluities	superfluity
superheroes	superhero
superintendences	superintendence
supermen	superman
supernovae	supernova
supplies	supply
suppositories	suppository
suprêmes	suprême
sureties	surety
surgeries	surgery
surges	surge
surmises	surmise
surpluses	surplus
surprises	surprise
susceptibilities	susceptibility
sutras	sutra
suvs	suv
suzerainties	suzerainty
swadeshis	swadeshi
swastikas	swastika
swatches	swatch
sweeties	sweetie
switches	switch
syces	syce
syllabi	syllabus
syllables	syllable
symbioses	symbiosis
symmetries	symmetry
sympathectomies	sympathectomy
sympathies	sympathy
symphonies	symphony
symphyses	symphysis
symposia	symposium
synagogues	synagogue
synapses	synapse
synergies	synergy
synonymies	synonymy
synopses	synopsis
syntaxes	syntax
synthases	synthase
syntheses	synthesis
synthetases	synthetase
syringes	syringe
têtes	tête
tabernacles	tabernacle
tableaux	tableau
taboos	taboo
tabulas	tabula
tackles	tackle
tacos	taco
taeniae	taenia
tais	tai
tali	talus
talkies	talkie
tallies	tally
tangibles	tangible
tanneries	tannery
tantras	tantra
taos	tao
tapestries	tapestry
taros	taro
tarsi	tarsus
tastes	taste
tattoos	tattoo
taus	tau
tautologies	tautology
taxa	taxon
taxables	taxable
taxes	tax
taxis	taxi
taxonomies	taxonomy
teagues	teague
teas	tea
technicalities	technicality
technologies	technology
tecta	tectum
teddies	teddy
teeth	tooth
telangiectases	telangiectasis
teleologies	teleology
telexes	telex
teloi	telos
telugu	telugu
tempi	tempo
temples	temple
temporalises	temporalis
temporalities	temporality
temporaries	temporary
tenancies	tenancy
tendencies	tendency
tenses	tense
tentacles	tentacle
teratomata	teratoma
termini	terminus
terminologies	terminology
terra-cottas	terra-cotta
terribles	terrible
territories	territory
tertiaries	tertiary
teslas	tesla
testae	testa
testimonies	testimony
tetrahedra	tetrahedron
tetralogies	tetralogy
thalami	thalamus
thalli	thallus
thanas	thana
theatres	theatre
thecae	theca
theocracies	theocracy
theodicies	theodicy
theologies	theology
theories	theory
therapies	therapy
thermocouples	thermocouple
thesauri	thesaurus
theses	thesis
thetas	theta
thimbles	thimble
thirties	thirty
thistles	thistle
thomases	thomas
thoracotomies	thoracotomy
throes	throe
thrombi	thrombus
thromboses	thrombosis
throttles	throttle
thrushes	thrush
thymes	thyme
thymi	thymus
thymocytes	thymocyte
thymomata	thymoma
thyroidectomies	thyroidectomy
tiaras	tiara
tibiae	tibia
ties	tie
timetables	timetable
tinies	tiny
tiptoes	tiptoe
tiros	tiro
tissues	tissue
tithes	tithe
titles	title
titres	titre
tobaccos	tobacco
toes	toe
togas	toga
toggles	toggle
tois	toi
tolerances	tolerance
tomatoes	tomato
tommies	tommy
tonalities	tonality
tongues	tongue
tonnes	tonne
tonys	tony
toolboxes	toolbox
toothaches	toothache
toothbrushes	toothbrush
topographies	topography
topoi	topos
topologies	topology
torches	torch
tori	torus
tories	tory
tornadoes	tornado
torpedoes	torpedo
torsi	torso
torsos	torso
tortillas	tortilla
tortoises	tortoise
tos	to
totalities	totality
touches	touch
tourettes	tourette
townsmen	townsman
toys	toy
trabeculae	trabecula
traceries	tracery
tracheae	trachea
tracheostomies	tracheostomy
tracheotomies	tracheotomy
tradesmen	tradesman
tragedies	tragedy
tragi	tragus
trajectories	trajectory
trances	trance
tranches	tranche
transaminases	transaminase
transcendences	transcendence
transferases	transferase
transiences	transience
transmittances	transmittance
transparencies	transparency
transverses	transverse
trapezii	trapezius
traumata	trauma
travelogues	travelogue
traverses	traverse
travesties	travesty
treacheries	treachery
treasuries	treasury
treaties	treaty
treatises	treatise
trebles	treble
trellises	trellis
trembles	tremble
trenches	trench
trespasses	trespass
tresses	tress
trestles	trestle
triangles	triangle
tribesmen	tribesman
tributaries	tributary
trickeries	trickery
tricycles	tricycle
tries	try
trifles	trifle
trilogies	trilogy
trinities	trinity
trios	trio
triples	triple
tris	tri
trisomies	trisomy
trivialities	triviality
trna	trna
trophies	trophy
troubles	trouble
truancies	truancy
trues	true
truffles	truffle
trusses	truss
trypanosomas	trypanosoma
tsetses	tsetse
tsunamis	tsunami
tsus	tsu
tubercles	tubercle
tummies	tummy
tumuli	tumulus
tundras	tundra
tunicae	tunica
tuples	tuple
turbos	turbo
turntables	turntable
turquoises	turquoise
turtles	turtle
tuttis	tutti
tuxedoes	tuxedo
tvs	tv
twelves	twelve
twenties	twenty
twinges	twinge
twos	two
tympana	tympanum
types	type
typologies	typology
tyrannies	tyranny
ufos	ufo
ulemas	ulema
ulnae	ulna
ulnas	ulna
ultimas	ultima
ultimata	ultimatum
ultras	ultra
umbilici	umbilicus
umbrellas	umbrella
umno	umno
unas	una
unattainables	unattainable
uncertainties	uncertainty
uncles	uncle
uncomfortables	uncomfortable
unconformities	unconformity
underclasses	underclass
undersecretaries	undersecretary
understudies	understudy
undesirables	undesirable
unholies	unholy
unido	unido
uniformities	uniformity
unintelligibles	unintelligible
unis	uni
unities	unity
universes	universe
universities	university
unknowables	unknowable
unlesses	unless
unnecessaries	unnecessary
unos	uno
unquestionables	unquestionable
unspeakables	unspeakable
untouchables	untouchable
upsurges	upsurge
urbinos	urbino
urethrae	urethra
urgencies	urgency
urinalyses	urinalysis
urls	url
uruses	urus
usbs	usb
uses	use
uteri	uterus
utopias	utopia
utterances	utterance
vacancies	vacancy
vacua	vacuum
vagaries	vagary
vagi	vagus
vaginas	vagina
vagrancies	vagrancy
vais	vai
valances	valance
valencies	valency
validities	validity
valises	valise
valsalvas	valsalva
valuables	valuable
values	value
valves	valve
vanillas	vanilla
vanities	vanity
varas	vara
variabilities	variability
variables	variable
variances	variance
varies	vary
varieties	variety
varnas	varna
varnishes	varnish
vars	var
varsities	varsity
vasa	vas
vasectomies	vasectomy
vases	vase
vaudevilles	vaudeville
vcrs	vcr
vedas	veda
vegetables	vegetable
vehemences	vehemence
vehicles	vehicle
velocities	velocity
venas	vena
vendettas	vendetta
ventricles	ventricle
venturis	venturi
venues	venue
verandas	veranda
verges	verge
veries	very
verities	verity
vermes	vermis
vernés	verné
veronicas	veronica
verses	verse
versos	verso
vertebrae	vertebra
vesicles	vesicle
vestries	vestry
vetoes	veto
vias	via
viceroys	viceroy
vicinities	vicinity
victories	victory
videocassettes	videocassette
videos	video
viennese	viennese
vies	vie
vigilantes	vigilante
vignettes	vignette
vikramas	vikrama
vilas	vila
villainies	villainy
villas	villa
villi	villus
virginias	virginia
virtues	virtue
virtuosi	virtuoso
virulences	virulence
viruses	virus
visas	visa
viscosities	viscosity
visionaries	visionary
vistas	vista
vitas	vita
vitrectomies	vitrectomy
vocabularies	vocabulary
vodkas	vodka
vogues	vogue
volcanoes	volcano
volterras	volterra
voltes	volte
voluntaries	voluntary
volvuli	volvulus
voodoos	voodoo
vortexes	vortex
vortices	vortex
votaries	votary
vulgarities	vulgarity
vulnerabilities	vulnerability
vulvas	vulva
wadis	wadi
wahabis	wahabi
wais	wai
waitresses	waitress
walaches	walach
walruses	walrus
waltzes	waltz
wans	wan
warehouses	warehouse
warranties	warranty
washes	wash
washoes	washoe
wasp	wasp
wastes	waste
watches	watch
watchmen	watchman
watercourses	watercourse
waxes	wax
weaponries	weaponry
wedges	wedge
weeklies	weekly
welshmen	welshman
weltanschauungen	weltanschauung
wenches	wench
werewolves	werewolf
wernickes	wernicke
wharves	wharf
whaus	whau
whiskies	whisky
whistles	whistle
wilis	wili
winches	winch
wineries	winery
winnebago	winnebago
wirelesses	wireless
wishes	wish
witcheries	witchery
witches	witch
withes	withe
wobblies	wobbly
woes	woe
wolves	wolf
women	woman
woodburies	woodbury
woolwiches	woolwich
workbenches	workbench
workforces	workforce
workhouses	workhouse
workmen	workman
works-in-progress	work-in-progress
worries	worry
worthies	worthy
wretches	wretch
wrinkles	wrinkle
wristwatches	wristwatch
xenopuses	xenopus
xeroxes	xerox
yahoos	yahoo
yamatos	yamato
yaqui	yaqui
yemenis	yemeni
yeomen	yeoman
yeshivas	yeshiva
yogis	yogi
yourselves	yourself
yous	you
yuccas	yucca
zapatistas	zapatista
zebras	zebra
zeemen	zeeman
zemstvos	zemstvo
zeroes	zero
zeros	zero
zinnias	zinnia
zlotys	zloty
zombies	zombie
zonas	zona
zoos	zoo
zuñis	zuñi
zulus	zulu
